,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10
0,4,1,5,2,5,1,5,2,4,1,1,4,4,2,2,2,2,2,3,2,2,5,2,4,2,3,2,4,3,4,3,4,3,2,2,4,4,2,4,4,5,1,4,1,4,1,5,3,4,5
1,3,5,3,4,3,3,2,5,1,5,2,3,4,1,3,1,2,1,3,1,1,4,1,5,1,5,3,4,5,3,3,2,5,3,3,1,3,3,5,3,1,2,4,2,3,1,4,2,5,3
2,2,3,4,4,3,2,1,3,2,5,4,4,4,2,2,2,2,2,1,3,1,4,1,4,2,4,1,4,4,3,4,2,2,2,3,3,4,2,4,2,5,1,2,1,4,2,5,3,4,4
3,2,2,2,3,4,2,2,4,1,4,3,3,3,2,3,2,2,2,4,3,2,4,3,4,2,4,2,4,3,4,2,4,4,4,1,2,2,3,1,4,4,2,5,2,3,1,4,4,3,3
4,3,3,3,3,5,3,3,5,3,4,1,5,5,3,1,1,1,1,3,2,1,5,1,5,1,3,1,5,5,3,5,1,5,1,3,1,5,1,5,5,5,1,5,1,5,1,5,3,5,5
5,3,3,4,2,4,2,2,3,3,4,3,4,3,2,2,1,2,1,2,2,2,3,1,4,2,3,2,3,4,4,3,2,4,1,3,2,4,3,4,3,5,1,5,1,3,1,5,4,5,2
6,4,3,4,3,3,3,5,3,4,3,2,4,4,2,4,2,2,2,4,4,1,2,1,5,3,5,3,4,4,5,3,2,4,2,1,4,4,2,2,5,5,2,4,3,4,1,5,5,4,4
7,3,1,5,2,5,2,5,2,3,2,2,4,2,4,2,1,2,1,1,1,2,5,2,4,3,2,2,4,4,4,5,1,5,1,4,2,3,2,5,5,4,1,3,1,5,1,4,3,4,5
8,2,2,3,3,4,2,2,2,4,4,3,4,4,1,2,2,3,2,3,4,1,5,1,5,1,3,1,4,4,4,3,3,4,0,3,4,1,2,1,4,4,1,5,1,4,1,5,2,5,5
9,1,5,3,5,2,3,2,4,5,4,3,3,3,3,4,3,3,3,3,3,5,3,5,1,5,3,4,2,3,2,2,5,1,5,1,4,3,4,2,2,3,1,3,1,3,3,4,3,3,3
10,3,3,2,3,3,2,4,3,3,5,4,3,4,1,2,3,5,4,4,5,2,5,3,4,2,3,1,3,4,2,1,5,5,5,1,5,3,1,1,5,5,1,5,1,5,1,5,5,5,5
11,3,1,5,3,5,1,5,5,5,3,5,1,3,1,5,5,5,5,5,3,2,5,5,3,3,5,3,5,5,5,5,5,5,3,5,5,5,3,3,5,4,1,5,1,5,3,1,5,5,5
12,4,1,5,4,5,1,4,1,5,2,1,5,1,2,1,1,5,4,1,5,1,5,2,5,1,4,1,5,5,5,2,4,5,4,2,3,1,4,1,2,5,1,5,1,4,1,5,5,5,5
13,1,5,1,5,1,5,1,5,1,5,5,1,5,1,4,5,3,3,4,5,2,2,2,3,3,3,3,0,3,1,3,2,5,3,4,1,5,3,4,3,5,1,4,1,2,2,4,5,5,3
14,1,5,2,5,1,4,1,2,2,5,4,3,5,1,4,4,4,2,4,5,2,5,4,5,1,5,2,4,5,5,4,4,2,4,2,3,4,1,4,5,5,4,5,5,4,1,4,4,5,5
15,2,1,3,4,4,3,5,3,3,5,4,2,3,3,3,4,3,3,5,5,5,5,5,5,2,3,3,3,4,5,3,3,4,4,4,2,3,3,4,5,5,2,5,3,4,1,3,3,5,5
16,1,4,2,4,2,3,2,4,2,4,4,3,4,2,4,4,3,3,4,4,2,3,3,3,3,4,3,4,4,3,2,2,3,3,2,4,3,2,2,3,4,2,4,3,4,2,4,3,4,4
17,4,1,5,2,4,2,3,2,4,2,1,4,3,5,3,2,3,2,2,1,4,5,1,5,2,4,2,4,4,4,3,3,4,4,2,3,4,3,2,3,3,3,4,3,3,4,3,2,2,3
18,4,2,5,3,4,4,5,2,5,2,2,5,4,4,3,4,2,1,1,1,1,5,1,5,1,5,1,5,5,4,0,3,5,3,1,5,3,2,1,2,4,1,5,1,3,5,4,2,5,3
19,5,1,5,2,5,1,5,3,5,4,4,1,4,2,4,4,4,4,5,4,3,3,4,3,2,5,1,4,4,4,4,1,5,1,5,5,5,1,5,5,4,5,3,5,4,3,5,4,2,3
20,3,3,2,3,4,3,1,5,1,2,5,1,5,1,3,3,4,3,5,4,2,4,4,4,2,4,3,3,4,3,4,3,4,2,3,2,4,2,3,4,3,2,4,3,3,2,3,3,4,3
21,3,2,2,4,4,4,5,3,1,3,3,3,4,4,3,3,5,4,3,4,1,5,1,4,5,3,2,3,4,2,3,3,2,2,2,2,4,3,2,2,3,4,3,2,2,5,3,2,1,2
22,1,4,3,4,2,3,2,5,2,5,3,4,4,3,2,3,2,2,2,1,1,4,1,5,2,4,2,5,4,3,4,1,4,1,2,2,4,2,3,3,2,2,3,2,3,3,3,1,5,3
23,3,4,4,3,3,4,2,2,0,5,5,4,5,1,4,1,1,1,1,1,1,5,1,4,1,5,1,4,4,4,1,4,5,1,5,5,5,3,3,5,5,4,5,4,5,1,5,4,5,4
24,1,5,1,4,1,5,1,5,1,5,5,1,5,1,4,5,3,2,5,5,1,3,2,4,2,3,2,4,5,2,4,2,5,4,2,2,3,2,2,3,4,2,4,3,2,3,5,4,5,2
25,2,2,3,5,5,3,5,5,4,5,4,4,5,2,2,4,5,3,3,4,2,5,5,5,2,5,1,5,5,4,2,4,3,4,1,3,3,4,5,2,3,5,4,4,3,3,5,2,5,3
26,4,1,5,3,5,1,5,5,5,1,5,2,3,2,3,1,3,1,4,2,1,5,1,5,1,5,1,5,5,5,3,1,4,1,2,1,3,1,5,5,4,1,5,1,3,1,5,1,5,4
27,1,3,1,5,1,4,1,5,1,5,3,2,4,5,3,2,1,1,3,1,5,4,3,3,4,3,2,1,2,2,4,4,3,2,3,4,3,2,2,3,4,3,5,3,4,1,4,4,4,5
28,2,2,3,5,3,3,1,4,1,3,5,3,5,1,1,5,3,3,5,4,2,4,2,4,2,4,1,5,3,3,3,5,3,4,1,4,4,3,4,3,3,4,4,3,3,1,3,3,4,3
29,2,4,4,2,3,3,3,3,3,3,5,3,5,2,5,5,4,4,4,4,1,4,1,5,2,5,1,3,4,3,4,1,3,2,5,1,5,2,4,3,5,2,5,2,4,1,3,4,5,3
30,2,4,5,4,4,1,5,4,4,3,3,4,5,5,2,2,2,1,1,1,5,5,1,5,2,4,1,5,5,4,4,1,4,1,5,1,5,3,1,5,5,3,3,3,3,4,4,4,5,5
31,2,4,2,4,3,4,2,5,2,4,5,3,5,2,4,4,4,2,4,4,1,4,1,5,2,4,2,4,4,3,4,2,4,2,5,1,5,2,5,4,4,2,5,3,3,2,3,2,4,3
32,3,2,4,2,2,3,3,2,4,4,1,5,1,5,3,1,2,1,3,1,2,4,1,4,2,4,2,4,4,4,4,5,3,1,1,4,1,1,1,3,4,2,4,2,5,1,4,1,4,5
33,3,4,3,2,5,4,2,4,4,4,5,2,4,2,5,5,5,5,5,4,2,4,3,3,3,4,2,3,4,3,2,2,5,3,1,4,4,5,1,2,2,2,4,2,4,2,5,3,4,4
34,2,2,0,2,5,1,2,3,3,4,4,3,4,3,2,4,4,5,5,5,1,5,1,5,1,2,5,1,2,2,2,5,2,3,2,4,4,4,4,3,5,4,5,1,4,4,2,2,1,2
35,1,4,4,5,4,3,3,5,1,3,5,3,5,2,2,5,4,4,4,5,1,5,1,5,4,5,1,4,5,4,4,1,5,3,5,1,5,3,5,4,5,3,5,3,2,1,4,5,5,3
36,5,1,4,1,5,2,5,2,5,3,4,2,5,3,4,2,4,4,4,2,2,4,2,5,1,4,1,3,5,3,3,5,2,4,4,5,3,3,2,4,2,2,4,2,3,2,4,2,5,4
37,3,2,3,4,2,2,3,4,3,4,3,4,3,5,4,2,3,1,3,1,3,3,1,3,4,4,4,2,2,4,2,4,2,2,2,2,2,3,2,2,5,1,5,1,5,1,5,5,4,5
38,2,3,3,4,2,4,1,3,3,4,4,5,3,3,3,3,1,1,2,3,2,2,1,3,3,3,3,3,3,4,4,5,4,2,2,3,2,2,2,3,4,1,3,1,3,2,4,3,4,3
39,5,1,5,2,5,1,5,2,4,2,2,4,3,3,4,2,2,2,2,3,1,5,3,5,1,5,1,5,4,5,2,5,3,2,1,4,1,1,2,5,5,1,4,1,4,1,5,4,4,4
40,2,3,3,4,3,3,1,4,2,3,5,2,5,3,4,3,5,4,3,3,2,4,2,4,3,4,3,4,3,3,4,4,4,3,1,2,4,3,3,3,3,3,4,4,3,3,2,2,4,3
41,3,4,3,4,4,2,2,2,4,4,1,2,4,2,4,4,4,4,3,3,1,4,2,4,2,5,2,4,4,4,4,2,2,2,4,2,4,2,4,4,5,2,4,2,4,2,5,4,4,3
42,3,3,5,2,5,1,4,2,5,1,2,5,2,5,2,2,1,1,2,1,1,5,1,5,1,5,1,4,5,5,4,4,2,1,4,2,4,1,1,2,5,2,4,1,4,1,4,3,5,4
43,2,1,4,1,5,2,2,5,1,3,4,0,5,2,4,4,1,1,2,4,5,5,1,5,1,5,1,5,5,5,2,2,2,3,1,3,1,1,4,3,2,1,2,1,2,3,4,1,4,3
44,2,4,5,3,5,1,3,5,5,5,1,4,5,5,1,1,1,1,1,1,1,5,1,5,1,3,1,5,5,5,4,3,5,1,5,1,5,1,5,5,4,2,4,2,5,1,5,1,5,5
45,3,1,4,3,4,2,3,2,4,5,4,3,4,4,4,4,4,5,5,4,3,4,1,5,3,4,2,4,5,5,2,3,3,4,4,4,2,2,3,4,2,4,5,3,3,1,5,2,5,3
46,4,2,4,2,3,0,2,2,4,3,4,2,4,4,4,4,4,4,4,3,3,3,2,3,3,3,2,3,4,3,2,5,3,4,2,4,2,5,3,2,4,3,5,3,5,1,4,4,2,5
47,3,3,4,3,4,0,4,3,2,3,2,4,4,2,3,3,4,4,2,4,1,5,2,5,1,5,1,4,5,5,2,5,4,2,1,4,2,3,1,2,4,4,4,1,3,2,5,3,4,3
48,2,4,4,2,3,2,2,4,1,5,2,4,4,2,2,2,2,2,2,2,1,4,1,4,2,3,2,5,4,4,3,2,5,1,3,2,4,2,3,4,4,1,3,1,4,2,4,3,5,4
49,3,5,4,3,3,4,2,2,2,4,1,2,3,2,2,2,3,2,2,4,3,4,3,2,1,4,2,3,3,4,5,4,4,2,4,2,2,2,5,5,3,2,4,2,2,2,4,2,4,5
50,4,1,5,1,5,2,5,1,5,1,3,3,4,3,4,4,4,4,4,3,3,5,3,2,3,2,1,5,3,5,3,5,4,4,2,4,2,3,2,4,4,1,4,1,4,2,5,3,5,4
51,1,2,3,4,3,3,2,5,1,5,3,2,4,1,2,3,3,3,4,3,3,3,4,3,4,5,3,3,3,2,3,3,4,2,3,1,4,1,1,3,4,4,5,2,3,1,3,4,4,4
52,1,4,1,3,2,3,2,3,4,4,5,2,5,2,3,3,0,4,5,4,3,4,4,4,3,4,2,2,3,1,4,2,5,4,1,3,4,4,2,3,5,2,5,2,4,2,4,4,5,4
53,1,4,5,4,4,1,2,1,1,2,2,3,4,2,2,2,4,4,2,3,1,5,1,5,1,4,1,5,5,5,3,4,4,1,2,4,4,1,3,5,5,1,5,1,4,1,5,5,5,4
54,2,4,4,4,4,2,2,4,4,4,2,2,4,2,2,2,2,1,1,4,1,4,1,5,1,5,2,4,5,4,2,2,5,1,2,2,4,1,2,4,4,3,4,2,4,2,4,2,4,4
55,5,1,5,2,4,1,4,3,4,2,2,4,4,4,3,1,1,1,2,2,1,5,2,4,1,4,1,4,4,4,3,2,3,2,2,2,4,2,3,4,5,1,4,1,4,2,5,5,4,4
56,2,4,3,5,2,4,3,3,4,5,4,3,5,4,4,4,4,4,4,4,2,4,3,4,2,4,3,3,4,2,3,4,3,4,1,4,3,3,2,4,5,2,5,2,4,2,5,4,4,5
57,3,2,5,1,3,2,5,3,2,4,4,4,2,1,2,1,2,2,1,3,3,3,1,3,2,2,2,3,2,3,4,2,4,1,3,4,2,3,3,4,3,2,3,3,3,1,4,3,3,3
58,4,5,4,4,4,1,2,2,0,3,5,2,4,4,3,2,3,1,3,2,1,4,2,5,0,4,1,4,3,5,4,1,3,3,4,1,5,1,4,4,5,1,3,1,5,1,4,5,2,5
59,3,3,4,3,2,2,3,5,4,5,2,4,5,2,4,2,5,1,4,3,2,4,3,4,2,3,2,4,2,3,4,2,3,3,3,4,5,2,4,4,3,3,3,3,4,3,3,3,4,3
60,2,1,3,3,5,2,4,5,5,3,5,1,5,1,5,5,1,5,5,5,4,5,4,4,2,4,1,4,4,5,1,1,5,5,1,5,5,5,1,1,2,5,5,5,1,2,4,2,4,3
61,5,1,5,1,5,1,5,3,3,3,4,3,3,1,3,4,3,2,3,1,3,2,3,1,5,1,4,3,2,2,3,1,3,3,1,3,2,1,1,1,4,5,3,5,3,1,3,2,4,3
62,5,1,3,1,5,1,5,1,5,1,3,3,3,5,3,3,3,3,3,1,1,5,3,3,3,5,3,3,3,5,3,3,3,1,3,3,5,3,3,5,5,3,3,3,5,3,0,3,3,5
63,4,1,4,2,5,1,4,2,5,2,3,4,4,2,4,4,3,2,3,2,1,4,3,5,2,5,2,4,5,4,4,4,3,3,4,4,3,2,4,2,3,2,4,2,3,2,4,2,5,3
64,1,4,3,5,2,5,3,4,4,3,3,3,4,2,2,3,5,4,3,5,2,4,1,4,2,4,2,5,4,4,2,5,4,4,1,4,1,3,1,4,4,1,5,3,3,2,5,1,4,4
65,3,3,2,2,4,2,3,3,4,3,2,4,3,2,3,2,2,3,2,1,2,4,1,5,2,3,2,4,4,5,3,4,4,2,2,3,4,3,3,3,3,1,4,1,3,1,5,4,4,4
66,2,3,2,4,2,2,2,3,3,4,4,2,2,1,4,4,5,5,3,5,2,3,3,4,2,4,2,4,4,2,2,5,4,5,1,5,3,4,2,5,4,2,4,4,4,1,4,4,4,5
67,4,3,4,2,2,4,4,2,4,4,4,4,2,2,2,2,4,4,2,3,2,5,2,4,2,4,1,4,4,4,1,4,3,4,2,4,1,2,1,2,5,1,5,1,4,1,4,4,5,5
68,3,5,3,4,2,5,2,4,5,5,4,3,3,4,2,5,5,5,4,4,5,2,2,4,3,4,3,4,4,3,4,1,5,2,3,4,5,3,4,4,4,1,5,1,4,1,5,3,5,5
69,1,5,2,4,2,4,1,2,4,5,4,2,4,1,3,4,3,3,4,5,1,1,1,4,4,4,5,3,3,2,4,3,3,3,2,3,5,1,4,4,5,1,4,1,4,1,4,4,5,5
70,3,4,5,3,5,2,4,4,5,3,5,3,5,3,3,1,3,3,1,5,2,5,3,5,3,5,1,5,5,5,5,1,5,3,3,1,3,3,2,4,4,1,5,1,4,1,5,1,5,5
71,3,4,1,4,3,2,2,4,3,5,5,3,4,3,5,1,3,2,5,2,4,2,5,1,5,2,4,1,1,4,2,5,4,3,1,4,5,3,3,5,3,4,2,2,4,4,5,3,4,2
72,1,5,1,5,1,5,1,5,1,1,3,1,5,3,1,1,1,3,1,1,1,1,5,1,1,1,5,1,5,1,1,1,5,1,3,1,1,3,3,1,1,1,3,1,3,1,5,1,3,5
73,2,3,3,3,3,3,4,3,3,4,4,2,5,2,4,4,4,4,4,5,2,4,1,4,2,4,2,3,4,4,4,3,4,3,3,4,4,2,4,4,4,2,5,2,4,2,4,5,4,4
74,2,2,3,3,5,2,2,5,2,3,4,2,4,2,2,3,4,3,4,4,1,4,1,5,2,4,1,4,5,4,2,4,5,3,2,4,3,4,2,4,5,1,4,1,4,1,4,5,4,4
75,1,4,2,5,3,1,1,5,3,5,2,5,5,5,3,5,3,1,1,1,2,5,1,5,2,4,1,4,4,3,4,3,4,1,2,4,3,2,2,4,4,1,3,1,4,2,5,2,5,4
76,4,2,5,2,5,1,4,2,4,2,1,5,2,4,1,1,1,1,1,5,1,5,1,5,1,2,1,5,5,5,5,2,5,1,5,1,5,1,5,5,4,1,4,1,4,1,4,3,5,4
77,1,5,3,4,3,5,2,4,2,3,4,3,4,4,4,4,4,4,4,3,1,4,2,5,2,4,2,3,4,1,1,3,4,4,4,4,4,3,2,3,4,3,4,3,3,2,4,2,4,2
78,2,2,2,4,3,2,1,4,4,5,1,3,3,5,2,1,4,3,4,1,5,2,4,1,3,1,4,2,1,2,1,5,4,1,1,4,2,4,1,4,5,1,3,1,4,1,4,5,5,4
79,3,2,5,3,4,2,4,3,3,3,2,3,4,2,3,3,5,5,2,3,1,4,1,5,2,5,1,3,4,4,3,1,3,2,4,2,3,3,2,4,3,4,5,3,3,1,5,2,4,3
80,4,1,5,2,5,1,4,2,4,2,2,4,3,3,2,3,3,1,3,2,1,0,2,5,2,3,1,5,5,4,4,2,5,2,3,2,5,2,3,4,5,1,5,1,4,1,5,5,4,4
81,3,1,5,2,5,1,4,3,4,1,4,3,4,1,4,4,3,3,5,4,2,4,5,2,3,4,2,4,3,4,3,4,4,2,4,3,4,1,2,3,4,5,2,5,3,3,4,4,2,3
82,4,2,3,3,4,2,4,2,4,4,3,4,5,3,4,4,3,4,4,3,5,4,3,4,2,4,2,4,4,3,4,5,4,4,2,5,1,3,2,3,4,3,4,2,3,4,3,4,4,4
83,1,5,1,5,1,5,1,5,1,5,3,1,5,1,1,1,1,1,1,3,1,1,5,1,1,1,5,1,5,1,1,5,5,1,3,1,1,3,3,1,1,1,5,1,5,1,5,1,5,5
84,4,3,3,3,4,1,3,3,4,5,5,2,5,4,5,4,5,4,5,5,4,4,3,4,2,5,2,4,4,3,2,4,4,4,1,4,4,3,2,2,4,4,4,2,3,2,2,3,5,5
85,4,1,5,2,4,1,4,4,2,3,2,4,3,4,2,2,2,2,1,2,4,5,1,4,1,3,1,4,4,4,4,1,4,1,4,1,5,2,3,3,3,3,4,3,3,2,3,3,3,4
86,2,4,2,5,1,2,2,4,2,5,2,2,5,2,4,1,4,3,3,4,1,4,4,4,2,2,2,3,4,3,4,2,5,3,2,4,3,3,3,4,5,2,5,2,4,2,4,4,4,4
87,4,1,5,1,5,1,4,2,4,2,4,3,4,4,3,1,3,4,5,2,3,3,3,3,2,3,2,3,3,3,3,1,2,3,2,4,2,3,3,2,3,4,5,2,2,4,2,3,3,5
88,3,2,3,2,4,2,3,4,2,1,4,3,4,3,3,3,2,2,4,1,5,4,3,4,2,3,2,4,4,4,4,1,4,2,3,2,4,3,3,4,3,4,3,2,3,2,5,3,2,3
89,4,1,4,4,5,1,5,1,5,2,2,3,3,4,1,1,3,1,2,1,1,5,1,5,1,4,2,4,4,5,5,4,5,1,4,2,4,1,5,5,5,1,5,1,5,5,4,5,5,5
90,3,3,5,3,5,2,3,3,4,3,2,3,3,3,3,3,3,1,3,3,5,5,3,4,3,4,2,5,4,4,4,5,2,3,2,1,5,3,4,3,3,5,3,4,3,4,3,1,3,3
91,4,1,2,2,4,1,3,2,4,5,4,2,4,1,4,4,5,5,5,5,2,5,5,4,2,5,2,3,5,4,4,2,4,2,1,1,5,2,5,4,4,3,5,4,4,1,5,4,5,4
92,2,4,4,5,3,4,1,5,2,5,4,4,4,2,4,4,2,2,2,4,4,2,1,4,2,3,4,2,2,3,4,2,5,2,4,1,4,2,4,5,5,1,2,1,4,4,4,4,4,3
93,2,2,4,3,5,3,4,3,4,3,3,3,4,4,3,4,0,3,5,3,3,4,3,5,2,4,3,3,4,3,2,4,4,4,3,4,3,4,3,3,3,3,4,3,4,3,4,3,4,3
94,1,4,3,4,3,3,2,4,2,4,3,3,4,2,3,4,4,4,2,4,4,4,1,3,2,3,3,3,2,3,4,4,3,3,4,4,4,1,4,3,3,2,4,2,3,2,4,1,4,2
95,3,2,3,2,4,2,4,3,4,3,4,2,5,2,3,4,4,3,5,2,1,4,4,4,2,4,1,4,4,4,4,2,5,2,4,1,5,1,5,4,5,2,4,1,3,2,5,4,5,5
96,1,1,5,1,5,1,1,1,1,2,4,4,4,3,1,1,4,4,1,3,1,5,4,5,1,4,1,4,5,5,1,4,4,5,1,5,1,3,3,3,3,2,5,1,5,1,5,4,4,3
97,4,3,5,2,5,1,4,3,4,3,5,3,5,2,4,4,2,2,4,5,2,3,3,4,4,3,4,2,3,3,2,1,5,4,4,2,5,5,1,4,4,2,5,1,5,1,5,5,5,5
98,3,4,2,2,3,2,2,3,1,3,4,3,5,1,4,4,3,3,4,4,1,4,3,4,2,4,2,3,3,3,4,1,4,1,5,1,5,2,5,4,5,1,5,1,3,1,5,5,5,4
99,2,4,2,4,3,4,3,5,2,5,4,2,5,1,5,4,4,4,3,4,1,5,2,5,2,4,2,4,4,4,3,2,4,4,2,2,3,3,3,4,5,1,5,1,3,1,5,4,4,5
100,3,2,5,3,4,2,4,3,3,3,4,3,4,4,2,3,2,2,2,2,1,5,1,5,1,4,1,4,4,4,5,3,5,2,4,2,4,2,4,4,4,2,4,2,4,2,4,3,4,4
101,1,4,2,4,2,2,2,4,1,4,3,2,5,1,4,2,2,2,2,5,4,4,2,4,4,3,2,4,2,2,5,1,4,4,4,2,4,2,2,4,5,2,5,2,4,2,4,5,4,5
102,2,2,5,3,5,2,5,4,3,2,2,5,3,1,2,1,1,1,1,1,1,5,1,5,1,3,1,4,5,4,1,3,4,2,3,2,4,3,2,3,4,2,5,2,4,2,5,4,5,4
103,3,2,4,3,4,2,4,3,4,2,3,3,4,1,4,3,2,2,2,1,4,4,1,5,2,4,4,4,5,4,4,2,5,2,3,1,3,3,4,3,3,2,5,1,4,1,4,1,3,4
104,3,1,5,4,5,2,3,4,4,2,1,3,2,3,2,2,1,2,2,4,1,4,2,5,1,5,1,5,4,4,2,4,4,1,3,3,3,2,4,3,5,1,5,1,4,1,5,4,5,4
105,3,3,3,4,4,2,2,3,2,3,4,3,4,2,2,2,5,4,5,4,1,4,2,4,2,2,2,4,4,3,4,1,5,2,4,2,4,1,3,4,4,1,2,2,3,2,4,4,4,3
